Deaths by Race/Ethnicity - All Age Groups
Date generated: Wed Nov 18 2020 17:38:51 GMT+0800 (中国标准时间)

Race/Ethnicity,Percentage,Count
Hispanic/Latino,15.7,22737
American Indian / Alaska Native Non-Hispanic,0.8,1218
Asian Non-Hispanic,4.5,6576
Black Non-Hispanic,19.6,28416
Native Hawaiian / Other Pacific Islander Non-Hispanic,0.2,308
White Non-Hispanic,55.1,79871
Multiple/Other Non-Hispanic,4,5809
